division,team_name,team_short,team_logo,final_result,final_position,final_record,group,founded_year
División 1,Valkiria's Vikings,VV,/logos/valkirias_vikings.png,Finalista,2,2-1,,2020
División 1,Guinea Pink,GP,/logos/guinea_pink.png,Fase de grupos,6,1-2
División 1,Oxygen Gaming LOL,OXG,/logos/oxygen_gaming_lol.png,Campeón,1,2-0
División 1,Nocturne Gale LOL,NG,/logos/nocturne_gale_lol.png,Fase de grupos,8,0-3
División 1,EK Esports,EK,/logos/ek_esports.png,Fase de grupos,5,1-2
División 1,Fallen Ember,FE,/logos/fallen_ember.png,Fase de grupos,7,1-2
División 1,Movistar KOI Karps,MKK,/logos/movistar_koi_karps.png,Semifinalista,3,2-0
División 1,Kawaii Kiwis 2026,KK,/logos/kawaii_kiwis_2026.png,Semifinalista,4,2-1
División 2,Valkiria's Thunder,VT,/logos/valkirias_thunder.jpeg,Fase de grupos,5,1-2
División 2,BYAKKO'S BREEDERS,BB,/logos/byakkos_breeders.jpg,Finalista,2,2-0
División 2,Guadalquivir Gaming,GG,/logos/guadalquivir_gaming.png,Semifinalista,3,2-1
División 2,Phoenix eSports,PHX,/logos/phoenix_esports.png,Fase de grupos,8,0-2
División 2,DPT,DPT,/logos/dpt.png,Fase de grupos,6,1-2
División 2,VVV,VVV,/logos/vvv.jpg,Campeón,1,2-0
División 2,MADE IN HEAVEN,MIH,/logos/made_in_heaven.png,Semifinalista,4,2-1
División 2,VentuCorp eSports LOL,VC,/logos/ventucorp_esports_lol.jpeg,Fase de grupos,7,0-2
División 4,Skyfox Inferno,SFI,/logos/skyfox_inferno.jpg,Fase de grupos,8,0-2,Grupo B
División 4,Skyfox Onslaught,SFO,/logos/skyfox_onslaught.png,Fase de grupos,8,0-2,Grupo A
División 4,Hellfire,HF,/logos/hellfire.jpg,Fase de grupos,8,0-2,Grupo C
División 4,ZRYN esports,ZRY,/logos/zryn_esports.jpg,Finalista,2,2-1,Grupo B
División 4,Rift Dragons,RD,/logos/rift_dragons.png,Fase de grupos,5,1-2,Grupo B
División 4,404 Legion,4LG,/logos/404_legion.png,Semifinalista,4,2-1,Grupo A
División 4,404 Legacy,4LC,/logos/404_legacy.jpg,Semifinalista,3,2-0,Grupo B
División 4,404 Academy,4AC,/logos/404_academy.png,Fase de grupos,7,0-2,Grupo D
División 4,Zenturions,ZEN,/logos/zenturions.jpg,Finalista,2,2-0,Grupo A
División 4,UBAM Comunitat,UBAM,/logos/ubam_comunitat.jpg,Semifinalista,4,2-1,Grupo B
División 4,Rift Dragons Academy,RDA,/logos/rift_dragons_academy.jpg,Semifinalista,4,2-1,Grupo D
División 4,ROSWILD Blue,RWB,/logos/roswild_blue.png,Fase de grupos,5,1-2,Grupo A
División 4,Uniovi eSports,UNI,/logos/uniovi_esports.png,Fase de grupos,7,0-2,Grupo B
División 4,ORIGYN,ORI,,Fase de grupos,7,0-2,Grupo A
División 4,Goaty Esports,GOAT,/logos/goaty_esports.png,Campeón,1,2-0,Grupo C
División 4,404 Black,4BK,/logos/404_black.png,Campeón,1,2-0,Grupo D
División 4,CSN Alba,CSNA,/logos/csn_alba.png,Fase de grupos,7,0-2,Grupo C
División 4,NX5 eSports Black,NX5,/logos/nx5_esports_black.png,Fase de grupos,6,1-2,Grupo A
División 4,ROSWILD Eclipse,RWE,/logos/roswild_eclipse.png,Fase de grupos,5,1-2,Grupo C
División 4,DimoniX ACADEMY,DMXA,/logos/dimonix_academy.jpg,Finalista,2,2-1,Grupo C
División 4,Trapezoides,TRZ,/logos/trapezoides.png,Fase de grupos,5,1-2,Grupo D
División 5,Factor Kubata,FK,/logos/factor_kubata.png,Fase de grupos,7,0-2,Grupo B
División 5,Unknown Family Gaming,UFG,/logos/unknown_family_gaming.jpg,Semifinalista,3,2-0,Grupo A
División 5,Gravelinas,GRV,/logos/gravelinas.png,Fase de grupos,7,0-2,Grupo D
División 5,Shadow Warriors,SW,/logos/shadow_warriors.png,Semifinalista,4,2-1,Grupo B
División 5,Win En Despachos,WED,/logos/win_en_despachos.jpeg,Fase de grupos,8,0-2,Grupo D
División 5,Cigarro de Doran,CDD,/logos/cigarro_de_doran.png,Semifinalista,3,2-0,Grupo B
División 5,Kebab Azerbaiyan,KAZ,/logos/kebab_azerbaiyan.jpg,Fase de grupos,5,1-2,Grupo A
División 5,Peek A Boo Esports,PAB,/logos/peek_a_boo_esports.png,Semifinalista,4,2-1,Grupo D
División 5,Goath,GTH,/logos/goath.png,Fase de grupos,8,0-2,Grupo C
División 5,ONI eSports,ONI,/logos/oni_esports.png,Fase de grupos,6,1-2,Grupo A
División 5,Loco Wasa Truncapingas,LWT,/logos/loco_wasa_truncapingas.png,Fase de grupos,8,0-2,Grupo A
División 5,Nuberu eSports,NUB,/logos/nuberu_esports.png,Finalista,2,2-0,Grupo C
División 5,Cepelio Gaming,CPG,/logos/cepelio_gaming.webp,Fase de grupos,5,1-2,Grupo C
División 5,HellFire Ascended,HFA,/logos/hellfire_ascended.png,Campeón,1,2-0,Grupo C
División 5,Team Frankfurt BBQ,TFB,/logos/team_frankfurt_bbq.png,Fase de grupos,8,0-2,Grupo B
División 5,404 Nexus,4NX,/logos/404_nexus.PNG,Fase de grupos,6,1-2,Grupo B
División 5,404 Rising,4RS,/logos/404_rising.PNG,Fase de grupos,6,1-2,Grupo C
División 5,WASSONESS,WAS,/logos/wassoness.jpg,Fase de grupos,6,1-2,Grupo D
División 5,Rising Birds Excelsior,RBE,/logos/rising_birds_excelsior.png,Finalista,2,2-1,Grupo B
División 5,CSN Vuoto,CSNV,/logos/csn_vuoto.png,Semifinalista,4,2-1,Grupo C
División 5,Scorpions,SCO,/logos/scorpions.jpg,Fase de grupos,7,0-2,Grupo C
División 5,UBU Frozen Quills LOL,UBU,/logos/ubu_frozen_quills_lol.png,Semifinalista,3,2-1,Grupo D
División 5,DYNAMO THUNDER LIONS,DTL,/logos/dynamo_thunder_lions.png,Fase de grupos,7,0-2,Grupo A
División 5,Nuberu Galerna,NUG,/logos/nuberu_galerna.png,Fase de grupos,5,1-2,Grupo B
División 5,NX5 eSports White,NX5W,/logos/nx5_esports_white.png,Campeón,1,2-1,Grupo A
División 5,HN Mellonant,HNM,/logos/hn_mellonant.png,Semifinalista,4,2-1,Grupo A
División 5,PANTUMAKA GANG,PMK,/logos/pantumaka_gang.jpg,Campeón,1,2-0,Grupo D
División 5,Velaris Esports,VEL,/logos/velaris_esports.png,Campeón,1,2-0,Grupo B
División 5,TULLIDOS,TUL,/logos/tullidos.png,Semifinalista,3,2-1,Grupo C
División 5,Los que te cuento,LQC,/logos/los_que_te_cuento.png,Finalista,2,2-0,Grupo A
División 5,lol&more,LM,/logos/lolmore.png,Fase de grupos,5,1-2,Grupo D
División 5,CSN Rovina,CSNR,/logos/csn_rovina.png,Finalista,2,2-0,Grupo D
División 6,Noche Fuerte,NF,/logos/noche_fuerte.jpg,Finalista,2,2-1,Grupo C
División 6,Team Frankfurt,TFR,/logos/team_frankfurt.png,Semifinalista,3,2-0,Grupo B
División 6,TOPSMURF,TSM,/logos/topsmurf.jpg,Finalista,2,2-0,Grupo D
División 6,PTS,PTS,,Fase de grupos,5,1-2,Grupo A
División 6,L.A. Leakers,LAL,/logos/la_leakers.png,Finalista,2,2-0,Grupo A
División 6,TRIGGER,TGG,/logos/trigger.png,Fase de grupos,7,0-2,Grupo B
División 6,TEAM GAJ,GAJ,/logos/team_gaj.jpeg,Fase de grupos,6,1-2,Grupo C
División 6,Thirty-something Reflexes,TSR,/logos/thirty-something_reflexes.png,Fase de grupos,8,0-2,Grupo C
División 6,Siqui Army,SQA,/logos/siqui_army.jpg,Semifinalista,3,2-0,Grupo C
División 6,LUNARIS GAMING,LNS,/logos/lunaris_gaming.jpeg,Semifinalista,4,2-1,Grupo C
División 6,HARAM,HRM,,Semifinalista,3,2-1,Grupo A
División 6,Dragons Of Blossom Illume,DBI,/logos/dragons_of_blossom_illume.png,Fase de grupos,6,1-2,Grupo D
División 6,Erytheia,ERY,/logos/erytheia.png,Campeón,1,2-0,Grupo D
División 6,Shadow Warriors Dojo,SWD,/logos/shadow_warriors_dojo.png,Fase de grupos,8,0-2,Grupo D
División 6,GUEBO GAMING,GUE,/logos/guebo_gaming.png,Fase de grupos,5,1-2,Grupo D
División 6,Supernova Crypt,SNC,/logos/supernova_crypt.png,Semifinalista,4,2-1,Grupo A
División 6,Isidro Gamos Alcura,IGA,,Fase de grupos,5,1-2,Grupo C
División 6,SUSTRAI,SUST,/logos/sustrai.png,Semifinalista,4,2-0,Grupo B
División 6,Jeffry Tempstein,JT,,Fase de grupos,5,1-2,Grupo B
División 6,Thunder Ninjas,TN,/logos/thunder_ninjas.png,Fase de grupos,8,0-2,Grupo A
División 6,Shadow Uniovi eSports,SUE,/logos/shadow_uniovi_esports.png,Finalista,2,2-1,Grupo B
División 6,AMIGAS SEBAS,AS,/logos/amigas_sebas.jpg,Campeón,1,2-0,Grupo A
División 6,Voidborn Elite,VBE,/logos/voidborn_elite.png,Semifinalista,4,2-1,Grupo D
División 6,Voidreavers,VDR,/logos/voidreavers.png,Campeón,1,2-0,Grupo C
División 6,Fenix Club,FNX,/logos/fenix_club.png,Fase de grupos,7,0-2,Grupo A
División 6,PROJECT IAM,PIA,/logos/project_iam.jpg,Semifinalista,3,2-1,Grupo D
División 6,Calvos Tóxicos Supremacía,CTS,/logos/calvos_toxicos_supremacia.png,Fase de grupos,6,1-2,Grupo A
División 6,Ataraxia IAM,ATX,/logos/ataraxia_iam.png,Fase de grupos,7,0-2,Grupo D
División 6,Jeroni Busquets GP,JBG,/logos/jeroni_busquets_gp.png,Fase de grupos,7,0-2,Grupo C
División 6,Flex Wannabes,FW,/logos/flex_wannabes.png,Fase de grupos,8,0-2,Grupo B
División 6,VyronX,VYX,/logos/vyronx.png,Campeón,1,2-1,Grupo B
División 6,Frankfurts,FNK,/logos/frankfurts.jpg,Fase de grupos,6,1-2,Grupo B
División 7,Dieggs,DGS,/logos/dieggs.png,Fase de grupos,6,1-2,Grupo A
División 7,Monkey G,MKG,/logos/monkey_g.png,Campeón,1,2-0,Grupo A
División 7,FAKTOR K,FKK,/logos/faktor_k.png,Fase de grupos,7,0-2,Grupo A
División 7,Low Elo Trash,LET,/logos/low_elo_trash.jpg,Campeón,1,2-1,Grupo C
División 7,Lekunberri Gaming,LKG,/logos/lekunberri_gaming.jpg,Semifinalista,4,2-1,Grupo A
División 7,GP Overtime,GPO,/logos/gp_overtime.png,Fase de grupos,6,0-3,Grupo B
División 7,Totoxicas FC,TTX,/logos/totoxicas_fc.png,Fase de grupos,5,1-2,Grupo B
División 7,Gaditos Esports,GAD,,Finalista,2,2-1,Grupo B
División 7,Arbusto Esports,ARB,/logos/arbusto_esports.png,Finalista,2,2-0,Grupo A
División 7,Girly Combo,GRC,/logos/girly_combo.jpg,Finalista,2,2-1,Grupo C
División 7,Wybox Studios,WYB,/logos/wybox_studios.jpeg,Fase de grupos,5,1-2,Grupo A
División 7,La 33,L33,/logos/la_33.png,Fase de grupos,5,1-2,Grupo C
División 7,Periquitos Gaming,PRQ,/logos/periquitos_gaming.png,Semifinalista,4,1-2,Grupo C
División 7,Debonairs,DEB,/logos/debonairs.jpg,Semifinalista,3,2-0,Grupo B
División 7,HellFire Academy🦇,HFAC,/logos/hellfire_academy.jpeg,Semifinalista,4,2-0,Grupo B
División 7,Aceituna Gaming,ACE,/logos/aceituna_gaming.png,Fase de grupos,6,0-2,Grupo C
División 7,404 Reapers,4RP,/logos/404_reapers.png,Semifinalista,3,2-0,Grupo C
División 7,FAST 15 Esports,F15,/logos/fast_15_esports.jpg,Campeón,1,2-1,Grupo B
División 7,Voli Vianos,VOL,/logos/voli_vianos.png,Semifinalista,3,2-1,Grupo A
